spectrum_index,spectrum_id,ms_level,rt_seconds,polarity,centroid,tic,base_peak_mz,base_peak_intensity,precursor_selected_ion_mz,isolation_window_target_mz,acquisition_mode_hint
48,sample=1 period=1 cycle=9 experiment=1,1,2.71300000002,positive,True,732912.0,68.010762625452,19121.0,,,
49,sample=1 period=1 cycle=9 experiment=2,2,2.78299999998,positive,True,688572.0,42.034084396437,144075.0,105.15,105.15,DDA
50,sample=1 period=1 cycle=9 experiment=3,2,2.82400000002,positive,True,620570.0,166.029298220164,11934.0,202.3,202.3,DDA
51,sample=1 period=1 cycle=9 experiment=4,2,2.865,positive,True,131312.0,46.064608988999,2633.0,283.5,283.5,DDA
52,sample=1 period=1 cycle=9 experiment=5,2,2.9059999999799997,positive,True,583377.0,381.206961836876,6576.0,394.1,394.1,DDA
53,sample=1 period=1 cycle=9 experiment=6,2,2.94700000002,positive,True,346326.0,556.276195144611,3315.0,637.4,637.4,DDA
54,sample=1 period=1 cycle=10 experiment=1,1,3.0430000000199997,positive,True,855948.0,68.010762625452,19125.0,,,
55,sample=1 period=1 cycle=10 experiment=2,2,3.11299999998,positive,True,740169.0,42.034084396437,168117.0,105.15,105.15,DDA
56,sample=1 period=1 cycle=10 experiment=3,2,3.15400000002,positive,True,642074.0,166.029298220164,13066.0,202.3,202.3,DDA
57,sample=1 period=1 cycle=10 experiment=4,2,3.195,positive,True,104166.0,46.064608988999,2016.0,283.5,283.5,DDA
58,sample=1 period=1 cycle=10 experiment=5,2,3.23599999998,positive,True,442322.0,381.206961836876,4926.0,394.1,394.1,DDA
59,sample=1 period=1 cycle=10 experiment=6,2,3.2770000000199997,positive,True,340780.0,397.189928942512,2468.0,637.4,637.4,DDA
60,sample=1 period=1 cycle=11 experiment=1,1,3.37300000002,positive,True,721303.0,68.010762625452,21779.0,,,
61,sample=1 period=1 cycle=11 experiment=2,2,3.4429999999799996,positive,True,581077.0,42.034084396437,135130.0,105.15,105.15,DDA
62,sample=1 period=1 cycle=11 experiment=3,2,3.48400000002,positive,True,635068.0,166.029298220164,13792.0,202.3,202.3,DDA
63,sample=1 period=1 cycle=11 experiment=4,2,3.525,positive,True,116673.0,46.063656632786,1471.0,283.5,283.5,DDA
64,sample=1 period=1 cycle=11 experiment=5,2,3.56599999998,positive,True,474380.0,98.983606472246,5996.0,394.1,394.1,DDA
65,sample=1 period=1 cycle=11 experiment=6,2,3.60700000002,positive,True,350687.0,397.187132432884,2762.0,637.4,637.4,DDA
66,sample=1 period=1 cycle=12 experiment=1,1,3.70300000002,positive,True,754285.0,166.028288941494,19819.0,,,
67,sample=1 period=1 cycle=12 experiment=2,2,3.77299999998,positive,True,623856.0,42.034084396437,130366.0,105.15,105.15,DDA
68,sample=1 period=1 cycle=12 experiment=3,2,3.81400000002,positive,True,612334.0,166.029298220164,8565.0,202.3,202.3,DDA
69,sample=1 period=1 cycle=12 experiment=4,2,3.855,positive,True,139431.0,46.063656632786,2341.0,283.5,283.5,DDA
70,sample=1 period=1 cycle=12 experiment=5,2,3.89599999998,positive,True,646701.0,381.204222170999,9789.0,394.1,394.1,DDA
71,sample=1 period=1 cycle=12 experiment=6,2,3.9370000000200003,positive,True,353193.0,556.272885643273,6758.0,637.4,637.4,DDA
72,sample=1 period=1 cycle=13 experiment=1,1,4.03300000002,positive,True,713386.0,68.010762625452,18162.0,,,
73,sample=1 period=1 cycle=13 experiment=2,2,4.10299999998,positive,True,613829.0,42.034084396437,141941.0,105.15,105.15,DDA
74,sample=1 period=1 cycle=13 experiment=3,2,4.14400000002,positive,True,622046.0,166.027490175507,8519.0,202.3,202.3,DDA
75,sample=1 period=1 cycle=13 experiment=4,2,4.1850000000000005,positive,True,142410.0,46.065561355056,3196.0,283.5,283.5,DDA
